dataset_role,source_file,sheet,rows_used,accounting_basis,notes
DESNZ annual pathway,Data_raw\DESNZ Energy and Emissions Projections 2024–2050 annexes\Annex_A_GHG_by_TES_sector.ods,Reference,GHG (All); Total emissions (exc. IAS) and Total emissions (inc. IAS),Territorial emissions excluding and including IAS,"Primary annual DESNZ baseline, 1990-2050; inc-IAS version used for CCC annual comparison."
Official historical GHG check,Data_raw\Final UK greenhouse gas emissions statistics 1990–2023 data tables\final-greenhouse-gas-emissions-tables-2023.xlsx,1.1,"Total greenhouse gas emissions, 1990-2023",UK territorial greenhouse gas emissions,Used to verify that DESNZ Annex A excluding-IAS historical segment is consistent with official final historical emissions.
DESNZ official carbon budget gap,Data_raw\DESNZ Energy and Emissions Projections 2024–2050 annexes\Web_tables_EEP_2024_2050.ods,Table_2_1,Carbon budget target; projected territorial and NCA emissions; projected performance vs target,"Official NCA basis; CB4-CB5 exclude IAS, CB6 includes IAS",Used for official CB4-CB6 policy gap metrics.
CCC Seventh Carbon Budget benchmark,Data_raw\CCC Seventh Carbon Budget  Balanced Pathway data\The-Seventh-Carbon-Budget-full-dataset.xlsx,Economy-wide data,Balanced Pathway; United Kingdom; Emissions: direct emissions total,CCC economy-wide total pathway emissions,"Primary target-consistent benchmark for annual comparison, 2025-2050."
CCC Sixth Carbon Budget benchmark,Data_raw\CCC Sixth Carbon Budget chartsdata and scenario dataset\The-Sixth-Carbon-Budget-Dataset_v2.xlsx,Scenario key metrics,Balanced Net Zero Pathway; Scenario emissions; Total emissions; UK columns,CCC scenario total emissions,"Older benchmark / sensitivity comparison, 2020-2050."
