scenario,tes_sector,year,emissions_MtCO2e
Reference,Domestic Transport,2011,125.418733071082
Reference,Domestic Transport,2012,124.738392220869
Reference,Domestic Transport,2013,122.983911101121
Reference,Domestic Transport,2014,124.839308088699
Reference,Domestic Transport,2015,125.327875756466
Reference,Domestic Transport,2016,128.809311586727
Reference,Domestic Transport,2017,129.490134384352
Reference,Domestic Transport,2018,128.116043548755
Reference,Domestic Transport,2019,124.718631912824
Reference,Domestic Transport,2020,103.492830901842
Reference,Domestic Transport,2021,111.933277388314
Reference,Domestic Transport,2022,113.088764483098
Reference,Domestic Transport,2023,111.814687715586
Reference,Domestic Transport,2024,112.469374875517
Reference,Domestic Transport,2025,116.525912843926
Reference,Domestic Transport,2026,113.683673065113
Reference,Domestic Transport,2027,110.627496929593
Reference,Domestic Transport,2028,106.21291998934
Reference,Domestic Transport,2029,100.94196396916
Reference,Domestic Transport,2030,94.662372105314
Reference,Domestic Transport,2031,88.9014516453192
Reference,Domestic Transport,2032,83.5641544146144
Reference,Domestic Transport,2033,78.9416291224815
Reference,Domestic Transport,2034,74.810722602423
Reference,Domestic Transport,2035,71.1945407765974
Reference,Domestic Transport,2036,67.9132790998794
Reference,Domestic Transport,2037,64.9690484650686
Reference,Domestic Transport,2038,62.3753462139582
Reference,Domestic Transport,2039,60.1740093409963
Reference,Domestic Transport,2040,58.176593794626
Reference,Domestic Transport,2041,56.5125288468301
Reference,Domestic Transport,2042,55.048075444871
Reference,Domestic Transport,2043,53.8943771096184
Reference,Domestic Transport,2044,52.8858751009717
Reference,Domestic Transport,2045,52.030818280127
Reference,Domestic Transport,2046,51.3710831321966
Reference,Domestic Transport,2047,50.8019708047805
Reference,Domestic Transport,2048,50.4713355691705
Reference,Domestic Transport,2049,50.1419538055505
Reference,Domestic Transport,2050,49.8833690620126
Reference,Electricity supply,1990,203.990898453228
Reference,Electricity supply,1991,200.562835432034
Reference,Electricity supply,1992,188.466186204535
Reference,Electricity supply,1993,170.963203369198
Reference,Electricity supply,1994,166.731982037533
Reference,Electricity supply,1995,163.558022733677
Reference,Electricity supply,1996,163.228079644629
Reference,Electricity supply,1997,150.651869663357
Reference,Electricity supply,1998,155.599993474688
Reference,Electricity supply,1999,147.554048329445
Reference,Electricity supply,2000,159.002950084772
Reference,Electricity supply,2001,169.852372811144
Reference,Electricity supply,2002,165.481526928505
Reference,Electricity supply,2003,174.488326762299
Reference,Electricity supply,2004,174.146106305149
Reference,Electricity supply,2005,173.414280568351
Reference,Electricity supply,2006,182.337388612104
Reference,Electricity supply,2007,178.045796539605
Reference,Electricity supply,2008,172.942727963949
Reference,Electricity supply,2009,151.155947829117
Reference,Electricity supply,2010,157.445333251227
Reference,Electricity supply,2011,144.684782409633
Reference,Electricity supply,2012,158.684183531496
Reference,Electricity supply,2013,147.67197837057
Reference,Electricity supply,2014,124.452796170375
Reference,Electricity supply,2015,104.29241497766
Reference,Electricity supply,2016,82.2603660829251
Reference,Electricity supply,2017,72.2297332412677
Reference,Electricity supply,2018,65.8521459059208
Reference,Electricity supply,2019,57.8513758830216
Reference,Electricity supply,2020,49.5299798778971
Reference,Electricity supply,2021,54.7621414064754
Reference,Electricity supply,2022,55.0427992563346
Reference,Electricity supply,2023,43.9334967691422
Reference,Electricity supply,2024,38.722355501135
Reference,Electricity supply,2025,26.8777794613616
Reference,Electricity supply,2026,24.5503124149467
Reference,Electricity supply,2027,22.0615246455058
Reference,Electricity supply,2028,21.2853529289559
Reference,Electricity supply,2029,21.6004533801253
Reference,Electricity supply,2030,23.6639600617013
Reference,Electricity supply,2031,24.195269174666
Reference,Electricity supply,2032,25.3560940408866
Reference,Electricity supply,2033,26.7292772479328
