quadrant_id,scenario_name,offsets_available_MtCO2e,mini_scenarios,min_net_2050_MtCO2e,median_net_2050_MtCO2e,max_net_2050_MtCO2e,median_delay_years,near_miss_count,near_miss_share
U1,Aligned transition,0,3,75.16505094738113,102.63308848890749,133.0890555219198,9.432312248108746,0,0.0
U1,Aligned transition,10,3,65.16505094738113,92.63308848890749,123.08905552191979,8.513279956770443,1,0.3333333333333333
U1,Aligned transition,50,3,25.165050947381133,52.63308848890749,83.08905552191979,4.837150791417231,2,0.6666666666666666
U2,Domestic delivery under external constraints,0,3,137.66773755031429,168.12370458332663,198.57967161633894,18.48128218815517,0,0.0
U2,Domestic delivery under external constraints,10,3,127.66773755031429,158.12370458332663,188.57967161633894,17.382015298101877,0,0.0
U2,Domestic delivery under external constraints,50,3,87.66773755031429,118.12370458332663,148.57967161633894,12.984947737888714,0,0.0
U3,Weak delivery despite supportive conditions,0,3,209.22897310445063,239.68494013746295,270.1409071704753,32.77548562829508,0,0.0
U3,Weak delivery despite supportive conditions,10,3,199.22897310445063,229.68494013746295,260.1409071704753,31.408045287258304,0,0.0
U3,Weak delivery despite supportive conditions,50,3,159.22897310445063,189.68494013746295,220.14090717047532,25.938283923111214,0,0.0
U4,Delayed transition risk,0,3,289.947572715376,320.40353974838825,350.85950678140057,51.54502654857943,0,0.0
U4,Delayed transition risk,10,3,279.947572715376,310.40353974838825,340.85950678140057,49.93627320618323,0,0.0
U4,Delayed transition risk,50,3,239.947572715376,270.40353974838825,300.85950678140057,43.501259836598415,0,0.0
