mini_scenario_id,quadrant_id,scenario_name,mini_scenario_label,uk_policy_delivery,external_conditions,domestic_delivery_score,external_shift,default_removals_credit_available_MtCO2e,post_2050_reduction_rate_MtCO2e_per_year_for_stress_test,tes_sector,sector_2050_MtCO2e_before_offsets,desnz_central_2050_MtCO2e,accelerated_anchor_2050_MtCO2e,delayed_delivery_2050_MtCO2e,external_dependency_score,clean_power_score
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,Buildings and product uses,16.910077820922922,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,Domestic Transport,35.19969865093864,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,Industry,8.159605146754124,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,Electricity supply,7.958367475864293,40.9557563067436,0.0,42.4446265379429,0.5,1.0
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,Agriculture,39.09445771628736,38.2005567333275,38.2005567333275,42.40714959431505,0.5,0.0
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,IAS,17.031437465476838,34.0464399792679,12.478539520291406,36.760661894613705,0.8333333333333334,0.0
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,Fuel supply,4.0628899047832014,13.2401066474921,0.0,21.66874615884375,0.6666666666666666,0.5
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,Waste,3.7463141878458934,11.6812776690764,0.0,15.7739544751406,0.16666666666666666,0.0
U1-1,U1,Aligned transition,credible,High,Supportive,0.75,0.1,50,10.881010487061245,LULUCF,0.9262071530465441,4.35862189668962,0.0,4.35862189668962,0.5,0.0
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,Buildings and product uses,8.455038910461454,84.5503891046146,0.0,84.5503891046146,0.3333333333333333,1.0
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,Domestic Transport,29.493532433706065,49.8833690620126,23.787366216473487,80.8490283887993,0.3333333333333333,1.0
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,Industry,3.138309671828509,47.3748288570278,0.0,50.21295474925616,1.0,0.5
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,Electricity supply,3.713904822070006,40.9557563067436,0.0,42.4446265379429,0.5,1.0
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,Agriculture,38.673798430188604,38.2005567333275,38.2005567333275,42.40714959431505,0.5,0.0
U1-2,U1,Aligned transition,strong,High,Supportive,0.85,0.1,50,10.881010487061245,IAS,14.603225228044607,34.0464399792679,12.478539520291406,36.760661894613705,0.8333333333333334,0.0
