tes_sector,1990,2008,2018,2023,2030,2035,2050,hist_rate_1990_2023_MtCO2e_per_year,hist_rate_2008_2023_MtCO2e_per_year,hist_rate_2018_2023_MtCO2e_per_year,projected_rate_2023_2050_MtCO2e_per_year,projected_rate_2035_2050_MtCO2e_per_year,best_positive_historical_rate_MtCO2e_per_year,projected_vs_best_historical_rate_ratio,rate_anchor_interpretation,share_of_2050_inc_IAS_total_pct,rank_2050_residual
Buildings and product uses,109.753400419937,113.319903114273,97.9310912198727,78.4758175684127,82.162375325639,81.7199740582081,84.5503891046146,0.9478055409552818,2.322939036390687,3.8910547302920007,-0.2249841309704408,-0.1886943364271,3.8910547302920007,-0.057820860040577494,Projected reversal after historical decline,26.07235440621461,1
Domestic Transport,129.255008921329,134.173854931478,128.116043548755,111.814687715586,94.662372105314,71.1945407765974,49.8833690620126,0.5284945819922118,1.4906111477261323,3.260271166633797,2.293752542724941,1.4207447809723206,3.260271166633797,0.7035465534890527,Slower than historical delivered rates,15.382269566513571,2
Industry,155.210183372017,92.8250981074121,63.2085283794884,53.0510806414845,40.1178138899444,40.7126679478967,47.3748288570278,3.0957303857737126,2.6516011643951733,2.031489547600779,0.21023154757247048,-0.4441440606087402,3.0957303857737126,0.06791016056778715,Much slower than historical delivered rates,14.608724347393672,3
Electricity supply,203.990898453228,172.942727963949,65.8521459059208,43.9334967691422,23.6639600617013,29.2605566372262,40.9557563067436,4.850224293457146,8.60061541298712,4.383729827355721,0.11028668379254075,-0.779679977967827,8.60061541298712,0.012823115381488332,Much slower than historical delivered rates,12.629309039403337,4
Agriculture,54.3985824961385,49.6981093209486,48.0992006922732,46.6137424553026,44.64594711842,43.5316394993459,38.2005567333275,0.23590424366169402,0.2056244577097336,0.2970916473941202,0.31159947118426284,0.3554055177345598,0.2970916473941202,1.048832822859192,Comparable to historical delivered rates,11.779702780949874,5
IAS,23.6473354671225,45.7803651854211,44.4742068265647,39.4748838099595,40.2550509807,38.3843331382221,34.0464399792679,-0.4796226770556667,0.42036542503077307,0.9998646033210405,0.20105347521079994,0.289192877263613,0.9998646033210405,0.20108070086990057,Much slower than historical delivered rates,10.498719861727276,6
Fuel supply,77.1921705075374,49.6781133916652,37.2623775880541,30.0973856701954,25.1864098374098,20.9778738156562,13.2401066474921,1.4271146920406665,1.3053818480979866,1.43299838357174,0.6243436675075297,0.5158511445442733,1.43299838357174,0.435690419937081,Slower than historical delivered rates,4.082781363222036,7
Waste,70.2851382107242,44.1227456084859,23.1253245940442,19.8666312812048,15.9382259401972,13.1473344474649,11.6812776690764,1.5278335433187695,1.6170742884854066,0.6517386625678803,0.3031612448936445,0.09773711855923335,1.6170742884854066,0.18747515006103593,Much slower than historical delivered rates,3.602093550731373,8
LULUCF,10.6238726313304,1.22774903416888,0.684754591408554,1.11971398879782,1.33687784699157,2.86269668185091,4.35862189668962,0.28800480734947215,0.00720233635807066,-0.08699187947785321,-0.11995955214414072,-0.09972834765591397,0.28800480734947215,-0.41651927010572026,Projected reversal after historical decline,1.3440450838442903,9
