tes_sector,2023,2050,change_2023_2050_MtCO2e,share_of_2050_inc_IAS_total_pct,rank_2050_residual,interpretation_flag
Buildings and product uses,78.4758175684127,84.5503891046146,6.074571536201901,26.07235440621461,1,Projected increase from 2023 to 2050
Domestic Transport,111.814687715586,49.8833690620126,-61.931318653573406,15.382269566513571,2,Projected reduction from 2023 to 2050
Industry,53.0510806414845,47.3748288570278,-5.676251784456703,14.608724347393673,3,Projected reduction from 2023 to 2050
Electricity supply,43.9334967691422,40.9557563067436,-2.9777404623986,12.629309039403335,4,Projected reduction from 2023 to 2050
Agriculture,46.6137424553026,38.2005567333275,-8.413185721975097,11.779702780949874,5,Projected reduction from 2023 to 2050
IAS,39.4748838099595,34.0464399792679,-5.428443830691599,10.498719861727276,6,Projected reduction from 2023 to 2050
Fuel supply,30.0973856701954,13.2401066474921,-16.857279022703302,4.082781363222036,7,Projected reduction from 2023 to 2050
Waste,19.8666312812048,11.6812776690764,-8.1853536121284,3.602093550731373,8,Projected reduction from 2023 to 2050
LULUCF,1.11971398879782,4.35862189668962,3.2389079078917997,1.3440450838442903,9,Projected increase from 2023 to 2050
