technology,lcoe_2025_gbp_per_MWh,lcoe_2035_gbp_per_MWh,absolute_change_gbp_per_MWh,percentage_change_2025_to_2035
Solar PV,45.921005213077315,30.773499539390183,-15.147505673687132,-32.98600630234777
Fixed offshore wind,70.08838703177615,53.21986517310137,-16.868521858674782,-24.067499015246362
Onshore wind,69.42934712894049,62.6783551701964,-6.750991958744095,-9.723542331755631
Floating offshore wind,174.46035355326703,108.7173637570666,-65.74298979620043,-37.68362751605194
