unit,technology,capex,opex,fuel_cost,total_cost_component,source_sheet
Electricity generation (£/kWh),CCGT baseload,9.07326569847561,4.84,43.1,57.013265698475614,EA.04
Electricity generation (£/kWh),CCGT peaking,81.65939128628051,24.57,43.1,149.3293912862805,EA.04
Electricity generation (£/kWh),Nuclear,156.0106371589527,19.352314335779923,0.0,175.3629514947326,EA.04
Electricity generation (£/kWh),Offshore wind,37.997115503351466,14.222749669749906,0.0,52.21986517310137,EA.04
Electricity generation (£/kWh),Solar,22.572760621265726,8.200738918124458,0.0,30.773499539390183,EA.04
Transport (£/km),Petrol car,0.12435256457149078,0.044678792047679806,0.014055233211583019,0.18308658983075363,EA.04
Transport (£/km),EV,0.11242329672254153,0.039093169950061436,0.014595786569983164,0.16611225324258613,EA.04
Heating (£/kWh heat output),Gas  boiler,0.02357778550891556,0.011794102948525738,0.03903831762009931,0.0744102060775406,EA.04
Heating (£/kWh heat output),Heat pump,0.037976165605508726,0.011794102948525738,0.04963831198519518,0.09940858053922964,EA.04
