year,DESNZ_EEP_2024_excl_IAS_MtCO2e,DESNZ_EEP_2024_inc_IAS_MtCO2e,CCC7_Balanced_Pathway_MtCO2e,CCC6_Balanced_Net_Zero_Pathway_MtCO2e,gap_inc_IAS_DESNZ_minus_CCC7_MtCO2e,gap_inc_IAS_DESNZ_minus_CCC6_MtCO2e,gap_excl_IAS_DESNZ_minus_CCC7_MtCO2e
2025,363.150082905754,405.820995243062,413.919333154645,445.2689317758328,-8.09833791158303,-39.447936532770825,-50.76925024889101
2026,355.265423903811,397.416990031367,395.9959561225685,416.4312430033135,1.4210339087985062,-19.01425297194652,-40.7305322187575
2027,348.907854929247,390.880239750524,376.8885176622839,391.0138250787499,13.991722088240124,-0.13358532822587676,-27.980662733036922
2028,341.183234512029,382.206754528308,355.0120163752691,368.4360238075496,27.194738153038884,13.770730720758422,-13.828781863240124
2029,334.358922448123,375.630214182967,326.8596745321047,343.2683355721672,48.770539650862304,32.361878610799806,7.499247916018305
2030,327.713982125617,367.969033106317,295.7570712510952,316.26736214449346,72.21196185522177,51.70167096182354,31.956910874521782
2031,320.429867491574,360.604304620317,271.0543329351466,293.4250826834244,89.54997168517042,67.17922193689259,49.3755345564274
2032,314.955861329269,354.77074071117,249.0409661378411,264.55936440934164,105.72977457332888,90.21137630182835,65.91489519142789
2033,310.284565982226,349.397720465852,228.397777787064,238.5394298006782,120.99994267878799,110.8582906651738,81.88678819516201
2034,306.574221395534,345.16629831218,208.1529792247452,215.45213414594295,137.0133190874348,129.71416416623705,98.42124217078879
2035,303.407283864246,341.791617002469,186.9963045053786,190.91077096666584,154.79531249709044,150.8808460358032,116.4109793588674
2036,297.418389970588,335.196531395245,169.3378795419154,170.2866103694159,165.8586518533296,164.9099210258291,128.0805104286726
2037,293.90633610234,330.917241585146,151.337953641102,152.36117489125064,179.57928794404398,178.55606669389533,142.568382461238
2038,291.15243711487,327.987068330021,135.1187452743434,137.34291380855367,192.86832305567756,190.6441545214673,156.0336918405266
2039,288.652384870752,325.512140100051,121.7740553760484,122.92409594852906,203.7380847240026,202.58804415152196,166.87832949470356
2040,287.413756420828,323.989470167022,107.7030147447584,104.51950804482072,216.28645542226357,219.46996212220125,179.7107416760696
2041,286.724428652939,323.776781126681,91.28688604258056,87.5263318261427,232.48989508410043,236.2504493005383,195.43754261035846
2042,286.391613291685,323.97357566512,77.28337835573727,73.58614902876437,246.6901973093827,250.38742663635563,209.10823493594773
2043,286.393949878503,323.901389448084,65.28708323750712,61.18249301915562,258.61430621057684,262.71889642892836,221.1068666409959
2044,286.915035053593,324.118217849626,54.07107784759916,48.62473898251787,270.0471400020268,275.49347886710814,232.84395720599383
2045,286.723568765024,323.462890301364,42.46753913554234,37.76635003568504,280.99535116582166,285.69654026567895,244.2560296294817
2046,287.564608785598,323.81264938185,33.33026586671969,27.94849322299177,290.4823835151303,295.86415615885824,254.23434291887833
2047,288.295980261299,323.831292585978,24.57636949195876,18.982326418522437,299.25492309401926,304.84896616745556,263.71961076934025
2048,289.231830318914,324.962883302709,16.08758731806194,12.09830557069192,308.87529598464704,312.86457773201704,273.14424300085204
2049,289.25697485373,323.861631639471,7.895034105719957,6.33165110107165,315.96659753375104,317.52998053839934,281.36194074801006
2050,290.244906276984,324.291346256252,-1.107090125854042,-0.9724465966541516,325.398436382106,325.26379285290614,291.35199640283804
