coverage,2023,2030,2035,2050,CB6,change_2023_2050,share_2050_inc_ias_pct
Buildings and product uses,78.4758175684127,82.162375325639,81.7199740582081,84.5503891046146,409.523947076247,6.074571536201901,26.07235440621461
Domestic Transport,111.814687715586,94.662372105314,71.1945407765974,49.8833690620126,357.82922006645,-61.931318653573406,15.382269566513571
Industry,53.0510806414845,40.1178138899444,40.7126679478967,47.3748288570278,204.017420233898,-5.676251784456703,14.608724347393673
Electricity supply,43.9334967691422,23.6639600617013,29.2605566372262,40.9557563067436,140.782562015414,-2.9777404623986,12.629309039403335
Agriculture,46.6137424553026,44.64594711842,43.5316394993459,38.2005567333275,217.512856817407,-8.413185721975097,11.779702780949874
IAS,39.4748838099595,40.2550509807,38.3843331382221,34.0464399792679,190.878611445957,-5.428443830691599,10.498719861727276
Fuel supply,30.0973856701954,25.1864098374098,20.9778738156562,13.2401066474921,101.679272262712,-16.857279022703302,4.082781363222036
Waste,19.8666312812048,15.9382259401972,13.1473344474649,11.6812776690764,66.0081867512141,-8.1853536121284,3.602093550731373
LULUCF,1.11971398879782,1.33687784699157,2.86269668185091,4.35862189668962,14.237332091592,3.2389079078917997,1.3440450838442903
